iter	Passed	Remaining
416	2847	3980
417	2853	3973
418	2859	3965
419	2867	3959
420	2873	3952
421	2880	3944
422	2886	3937
423	2892	3930
424	2899	3922
425	2905	3915
426	2912	3908
427	2919	3901
428	2925	3894
429	2932	3886
430	2938	3879
431	2945	3872
432	2952	3866
433	2959	3859
434	2965	3851
435	2971	3843
436	2977	3836
437	2984	3829
438	2990	3821
439	2997	3815
440	3004	3807
441	3010	3800
442	3017	3793
443	3023	3785
444	3029	3778
445	3035	3770
446	3041	3763
447	3048	3756
448	3055	3749
449	3061	3742
450	3068	3735
451	3074	3727
452	3081	3720
453	3087	3713
454	3093	3705
455	3100	3698
456	3106	3690
457	3112	3683
458	3119	3676
459	3126	3669
460	3132	3662
461	3138	3655
462	3145	3648
463	3151	3640
464	3158	3633
465	3164	3626
466	3171	3619
467	3177	3612
468	3184	3605
469	3191	3599
470	3197	3591
471	3203	3584
472	3210	3577
473	3217	3570
474	3224	3563
475	3230	3556
476	3237	3549
477	3243	3542
478	3249	3534
479	3256	3528
480	3262	3520
481	3269	3513
482	3275	3506
483	3282	3499
484	3288	3492
485	3296	3485
486	3302	3479
487	3309	3472
488	3315	3465
489	3323	3458
490	3330	3452
491	3337	3445
492	3343	3438
493	3350	3432
494	3357	3425
495	3364	3418
496	3371	3411
497	3378	3405
498	3385	3398
499	3391	3391
500	3398	3385
501	3405	3378
502	3411	3370
503	3418	3364
504	3425	3357
505	3432	3350
506	3438	3343
507	3445	3336
508	3452	3330
509	3458	3322
510	3465	3316
511	3472	3309
512	3479	3302
513	3485	3295
514	3491	3288
515	3498	3281
516	3505	3275
517	3512	3268
518	3518	3261
519	3525	3253
520	3531	3247
521	3537	3239
522	3544	3232
523	3550	3225
524	3556	3218
525	3563	3211
526	3570	3204
527	3577	3198
528	3583	3190
529	3589	3183
530	3596	3176
531	3602	3168
532	3608	3161
533	3614	3154
534	3621	3147
535	3628	3140
536	3634	3133
537	3640	3126
538	3647	3119
539	3653	3111
540	3660	3105
541	3665	3097
542	3672	3090
543	3678	3083
544	3684	3076
545	3692	3070
546	3698	3062
547	3704	3055
548	3711	3048
549	3717	3041
550	3723	3034
551	3729	3027
552	3735	3019
553	3742	3012
554	3748	3005
555	3755	2998
556	3761	2991
557	3769	2986
558	3779	2981
559	3790	2978
560	3799	2973
561	3807	2967
562	3814	2961
563	3828	2959
564	3842	2958
565	3851	2953
566	3859	2947
567	3868	2942
568	3875	2935
569	3884	2930
570	3892	2924
571	3900	2918
572	3907	2911
573	3915	2906
574	3923	2899
